url,title,category,lastmod
https://www.shanethegamer.com/esports-news/march-of-giants-closed-alpha-amazon-games-moba/,March Of Giants Closed Alpha Amazon Games Moba,esports-news,2025-08-29T11:52:58+00:00
https://www.shanethegamer.com/esports-news/call-of-duty-black-ops-7-beta/,Call Of Duty Black Ops 7 Beta,esports-news,2025-08-29T11:28:11+00:00
https://www.shanethegamer.com/esports-news/fragpunk-toyland-map-copies-cs2-inferno/,Fragpunk Toyland Map Copies Cs2 Inferno,esports-news,2025-08-29T11:13:37+00:00
https://www.shanethegamer.com/esports-news/talon-esports-loan-repayment-2025/,Talon Esports Loan Repayment 2025,esports-news,2025-08-29T06:37:42+00:00
https://www.shanethegamer.com/esports-news/raidiant-invitational-fortnite-2025/,Raidiant Invitational Fortnite 2025,esports-news,2025-08-29T04:45:14+00:00
https://www.shanethegamer.com/esports-news/blast-dota-2-slam-v-chengdu-2025/,Blast Dota 2 Slam V Chengdu 2025,esports-news,2025-08-29T04:38:03+00:00
https://www.shanethegamer.com/esports-news/jcobbbs-tough-debut-as-faze-beat-ecstatic-at-blast-open-london-2025/,Jcobbbs Tough Debut As Faze Beat Ecstatic At Blast Open London 2025,esports-news,2025-08-28T11:52:12+00:00
https://www.shanethegamer.com/esports-news/yakutou-brothers-replace-gaimin-gladiators-at-the-international-2025/,Yakutou Brothers Replace Gaimin Gladiators At The International 2025,esports-news,2025-08-28T11:22:33+00:00
https://www.shanethegamer.com/esports-news/gamdom-imperial-launches-european-cs2-academy-roster/,Gamdom Imperial Launches European Cs2 Academy Roster,esports-news,2025-08-28T11:03:29+00:00
https://www.shanethegamer.com/esports-news/is-the-tn1r-transfer-to-team-spirit-cancelled-zont1x-still-in-the-roster-for-iem-chengdu-2025/,Is The Tn1R Transfer To Team Spirit Cancelled Zont1X Still In The Roster For Iem Chengdu 2025,esports-news,2025-08-28T10:51:35+00:00
https://www.shanethegamer.com/esports-news/twitch-subtember-2025-brings-discounts-bonus-gift-subs-and-valorant-sponsorship/,Twitch Subtember 2025 Brings Discounts Bonus Gift Subs And Valorant Sponsorship,esports-news,2025-08-28T07:11:02+00:00
https://www.shanethegamer.com/esports-news/roblox-will-disable-all-unrated-games-on-september-30/,Roblox Will Disable All Unrated Games On September 30,esports-news,2025-08-27T14:44:00+00:00
https://www.shanethegamer.com/esports-news/ishowspeed-is-rolling-stones-most-influential-creator-of-2025/,Ishowspeed Is Rolling Stones Most Influential Creator Of 2025,esports-news,2025-08-27T14:24:30+00:00
https://www.shanethegamer.com/esports-news/2xko-closed-beta-start-time-invites-regions-and-whats-new/,2Xko Closed Beta Start Time Invites Regions And Whats New,esports-news,2025-08-27T13:48:54+00:00
https://www.shanethegamer.com/esports-news/shroud-calls-deadlock-one-of-the-best-games-ever-made-but-warns-about-player-counts/,Shroud Calls Deadlock One Of The Best Games Ever Made But Warns About Player Counts,esports-news,2025-08-27T13:07:37+00:00
https://www.shanethegamer.com/esports-news/blast-open-london-2025-schedule-format-and-teams-you-need-to-know/,Blast Open London 2025 Schedule Format And Teams You Need To Know,esports-news,2025-08-27T12:50:16+00:00
https://www.shanethegamer.com/esports-news/retake-mode-and-volatile-cases-could-be-coming-soon-to-cs2/,Retake Mode And Volatile Cases Could Be Coming Soon To Cs2,esports-news,2025-08-27T12:49:32+00:00
https://www.shanethegamer.com/esports-news/chinese-esports-club-charges-1400-to-cure-kids-gaming-addiction/,Chinese Esports Club Charges 1400 To Cure Kids Gaming Addiction,esports-news,2025-08-27T12:48:56+00:00
https://www.shanethegamer.com/esports-news/duet-night-abyss-release-date-platforms-and-story/,Duet Night Abyss Release Date Platforms And Story,esports-news,2025-08-27T11:37:39+00:00
https://www.shanethegamer.com/esports-news/all-t1-worlds-2024-skins-revealed-faker-gumayusi-zeus-oner-and-keria-picks/,All T1 Worlds 2024 Skins Revealed Faker Gumayusi Zeus Oner And Keria Picks,esports-news,2025-08-27T10:56:07+00:00
https://www.shanethegamer.com/esports-news/pubg-americas-series-6-format-schedule-prize-pool-how-to-watch/,Pubg Americas Series 6 Format Schedule Prize Pool How To Watch,esports-news,2025-08-27T10:37:49+00:00
https://www.shanethegamer.com/esports-news/apex-legends-reveals-creator-tournament-series/,Apex Legends Reveals Creator Tournament Series,esports-news,2025-08-27T10:07:44+00:00
https://www.shanethegamer.com/esports-news/one-punch-man-x-fortnite-collab-revealed-release-date-skins-and-more/,One Punch Man X Fortnite Collab Revealed Release Date Skins And More,esports-news,2025-08-26T13:00:59+00:00
https://www.shanethegamer.com/esports-news/snax-leaves-g2-after-a-month-on-the-bench/,Snax Leaves G2 After A Month On The Bench,esports-news,2025-08-26T11:58:32+00:00
https://www.shanethegamer.com/esports-news/iem-chengdu-2025-all-16-invited-teams-revealed/,Iem Chengdu 2025 All 16 Invited Teams Revealed,esports-news,2025-08-26T11:57:31+00:00
https://www.shanethegamer.com/esports-news/bilibili-gaming-crowned-vct-china-stage-2-champions-after-3-1-win-over-drg/,Bilibili Gaming Crowned Vct China Stage 2 Champions After 3 1 Win Over Drg,esports-news,2025-08-26T11:31:52+00:00
https://www.shanethegamer.com/esports-news/gentle-mates-enter-counter-strike-2-with-iberian-soul-roster/,Gentle Mates Enter Counter Strike 2 With Iberian Soul Roster,esports-news,2025-08-26T11:12:33+00:00
https://www.shanethegamer.com/esports-news/gears-of-war-reloaded-launches-26-august-heres-everything-you-need-to-know/,Gears Of War Reloaded Launches 26 August Heres Everything You Need To Know,esports-news,2025-08-26T07:40:34+00:00
https://www.shanethegamer.com/esports-news/riot-reveals-valorant-mobiles-first-national-series-in-china-with-418k-prize-pool/,Riot Reveals Valorant Mobiles First National Series In China With 418K Prize Pool,esports-news,2025-08-26T07:29:02+00:00
https://www.shanethegamer.com/esports-news/hollow-knight-silksong-announcement-release-date-confirmed-for-4-september-2025/,Hollow Knight Silksong Announcement Release Date Confirmed For 4 September 2025,esports-news,2025-08-25T12:16:30+00:00
https://www.shanethegamer.com/esports-news/who-won-the-admin-abuse-war-jandel-vs-sammy-roblox-showdown-results/,Who Won The Admin Abuse War Jandel Vs Sammy Roblox Showdown Results,esports-news,2025-08-25T12:06:02+00:00
https://www.shanethegamer.com/esports-news/team-falcons-sweep-team-spirit-3-0-to-win-dota-2-fissure-universe-episode-6/,Team Falcons Sweep Team Spirit 3 0 To Win Dota 2 Fissure Universe Episode 6,esports-news,2025-08-25T11:28:37+00:00
https://www.shanethegamer.com/esports-news/fortnite-x-demon-slayer-collab-rumoured-to-arrive-later-this-season/,Fortnite X Demon Slayer Collab Rumoured To Arrive Later This Season,esports-news,2025-08-25T11:14:32+00:00
https://www.shanethegamer.com/esports-news/esports-awards-2025-decade-celebration-full-winners-list-featuring-faker-zywoo-xqc-and-league-of-legends/,Esports Awards 2025 Decade Celebration Full Winners List Featuring Faker Zywoo Xqc And League Of Legends,esports-news,2025-08-25T10:49:13+00:00
https://www.shanethegamer.com/esports-news/helldivers-2-launches-on-xbox-august-26-everything-you-need-to-know/,Helldivers 2 Launches On Xbox August 26 Everything You Need To Know,esports-news,2025-08-25T10:03:08+00:00
https://www.shanethegamer.com/esports-news/leak-suggests-dota-2s-next-hero-bard-frog-will-have-a-unique-ability-panel-like-invoker/,Leak Suggests Dota 2S Next Hero Bard Frog Will Have A Unique Ability Panel Like Invoker,esports-news,2025-08-25T08:25:20+00:00
https://www.shanethegamer.com/esports-news/ag-al-crowned-first-crossfire-champions-at-the-2025-esports-world-cup/,Ag Al Crowned First Crossfire Champions At The 2025 Esports World Cup,esports-news,2025-08-25T07:46:19+00:00
